Date,Expiry,Strike,Spot,C_market,T_days,T_years,Moneyness,r,RV_22,IV_call,IV_put,IV_classical,C_reprice,Reprice_Error
2025-01-01,2025-01-09,23750.0,23742.9,259.35,8,0.0317460317460317,0.999701052631579,0.065,0.1063931101652735,0.14105299996927556,0.12996650480158856,0.13550975238543206,259.35000000014224,1.4222223398974165e-10
2025-01-02,2025-01-09,24200.0,24188.65,181.4,7,0.0277777777777777,0.9995309917355372,0.065,0.1219486190962509,0.10250231291545223,0.1276111879998327,0.11505675045764246,181.40000000031068,3.106777057837462e-10
2025-01-03,2025-01-16,24000.0,24004.75,254.5,13,0.0515873015873015,1.0001979166666666,0.065,0.1220896663938195,0.09635524902640094,0.1200448878434237,0.10820006843491231,254.5,0.0
2025-01-06,2025-01-16,23600.0,23616.05,310.1,10,0.0396825396825396,1.0006800847457626,0.065,0.1340022585038787,0.14406903690045209,0.1552884648971853,0.1496787508988187,310.10000000000036,3.410605131648481e-13
2025-01-07,2025-01-16,23700.0,23707.9,244.15,9,0.0357142857142857,1.0003333333333333,0.065,0.1304959204771842,0.11833959255237989,0.13370422729368148,0.1260219099230307,244.14999999999964,3.694822225952521e-13
2025-01-08,2025-01-16,23700.0,23688.95,208.55,8,0.0317460317460317,0.9995337552742616,0.065,0.1304565851821121,0.11236270480015748,0.11963851948920672,0.1160006121446821,208.55000000042673,4.2672354538808577e-10
2025-01-09,2025-01-16,23550.0,23526.5,204.0,7,0.0277777777777777,0.9990021231422506,0.065,0.1322728939756888,0.12430156067463251,0.10835148519362837,0.11632652293413044,203.99999999999818,1.8189894035458565e-12
2025-01-10,2025-01-23,23450.0,23431.5,259.55,13,0.0515873015873015,0.9992110874200426,0.065,0.132974180766155,0.1076674643896605,0.12522472742681043,0.11644609590823546,259.5500000072316,7.231562904053135e-09
2025-01-13,2025-01-23,23100.0,23085.95,258.4,10,0.0396825396825396,0.9993917748917748,0.065,0.1420967708453133,0.12820318254819793,0.13348729093604284,0.1308452367421204,258.4000000003616,3.616378307924606e-10
2025-01-14,2025-01-23,23200.0,23176.05,221.55,9,0.0357142857142857,0.998967672413793,0.065,0.1421307967682853,0.11813652548271267,0.11334302867689854,0.1157397770798056,221.55000000001746,1.745092959026806e-11
2025-01-15,2025-01-23,23200.0,23213.2,193.5,8,0.0317460317460317,1.0005689655172414,0.065,0.1390037895995427,0.09779688433922977,0.11909893321961233,0.10844790877942105,193.5,0.0
2025-01-16,2025-01-23,23300.0,23311.8,205.95,7,0.0277777777777777,1.0005064377682402,0.065,0.1390689863145638,0.11480352099987064,0.12487089596512309,0.11983720848249686,205.9499999999989,1.0800249583553523e-12
2025-01-17,2025-01-30,23200.0,23203.2,286.05,13,0.0515873015873015,1.000137931034483,0.065,0.1322258537184322,0.11601445838723788,0.12092233869772924,0.11846839854248356,286.04999999999745,2.5579538487363607e-12
2025-01-20,2025-01-30,23350.0,23344.75,263.05,10,0.0396825396825396,0.9997751605995716,0.065,0.1324443720543278,0.12659334947369089,0.12697308677618288,0.12678321812493687,263.05000000238033,2.3803181647963356e-09
2025-01-21,2025-01-30,23000.0,23024.65,288.6,9,0.0357142857142857,1.001071739130435,0.065,0.1360804123904778,0.14291513151925125,0.1291651466102986,0.1360401390647749,288.59999999999854,1.4779288903810084e-12
2025-01-22,2025-01-30,23150.0,23155.35,222.35,8,0.0317460317460317,1.000231101511879,0.065,0.1272621372827512,0.11840956642548686,0.11955412713812011,0.11898184678180349,222.35000000896616,8.966168252300122e-09
2025-01-23,2025-01-30,23200.0,23205.35,222.85,7,0.0277777777777777,1.0002306034482755,0.065,0.1252434958033391,0.12869138206790112,0.11666189316315738,0.12267663761552924,222.85000000242871,2.4287203359563136e-09
2025-01-24,2025-02-06,23100.0,23092.2,363.85,13,0.0515873015873015,0.9996623376623376,0.065,0.1262777959956164,0.15696028839211681,0.15927998601271176,0.1581201372024143,363.8500000011354,1.1353904483257793e-09
2025-01-27,2025-02-06,22850.0,22829.15,348.3,10,0.0396825396825396,0.9990875273522976,0.065,0.1320575753820244,0.18147140522955013,0.18291436929522195,0.18219288726238603,348.2999999999993,7.389644451905042e-13
2025-01-28,2025-02-06,22950.0,22957.25,363.05,9,0.0357142857142857,1.0003159041394336,0.065,0.1331050271607499,0.19204673161605723,0.18639854889023583,0.18922264025314653,363.050000000243,2.4300561562995426e-10
2025-01-29,2025-02-06,23150.0,23163.1,370.8,8,0.0317460317460317,1.0005658747300217,0.065,0.1343582001149205,0.20649669784449726,0.21123510726149625,0.20886590255299675,370.8000000002103,2.1026380636612885e-10
2025-01-30,2025-02-06,23250.0,23249.5,352.55,7,0.0277777777777777,0.999978494623656,0.065,0.1349477925525016,0.2145917083753742,0.1852420251731998,0.199916866774287,352.55000000000473,4.718003765447065e-12
2025-01-31,2025-02-13,23500.0,23508.4,356.1,13,0.0515873015873015,1.0003574468085108,0.065,0.1393531899415713,0.14610290675671855,0.1493295613794289,0.14771623406807372,356.10000000000036,3.410605131648481e-13
2025-02-01,2025-02-13,23500.0,23482.15,242.55,12,0.0476190476190476,0.9992404255319148,0.065,0.1243816914470843,0.1048307643543632,0.12270177567411822,0.11376627001424071,242.55000000527798,5.277968284644885e-09
2025-02-03,2025-02-13,23350.0,23361.05,246.45,10,0.0396825396825396,1.0004732334047108,0.065,0.1229221735232259,0.11270761020645279,0.12312709806603586,0.11791735413624432,246.4499999999989,1.0800249583553523e-12
2025-02-05,2025-02-13,23700.0,23696.3,207.0,8,0.0317460317460317,0.99984388185654,0.065,0.1219686366848084,0.10907248824262496,0.12131098810550167,0.11519173817406331,207.0000000031432,3.14321368932724e-09
2025-02-06,2025-02-13,23600.0,23603.35,213.75,7,0.0277777777777777,1.0001419491525425,0.065,0.1226619992364331,0.12112551034994108,0.12001855982690461,0.12057203508842285,213.75000000274122,2.7412170311436057e-09
2025-02-07,2025-02-20,23550.0,23559.95,245.75,13,0.0515873015873015,1.0004225053078557,0.065,0.1205917865402224,0.09302027101553792,0.11772909235400363,0.10537468168477077,245.75000000000182,1.8189894035458565e-12
2025-02-10,2025-02-20,23400.0,23381.6,240.25,10,0.0396825396825396,0.9992136752136752,0.065,0.1225408574530447,0.11779017774591613,0.1208042723264585,0.11929722503618731,240.25000000031469,3.1468516681343317e-10
2025-02-11,2025-02-20,23050.0,23071.8,254.75,9,0.0357142857142857,1.000945770065076,0.065,0.1205227193230908,0.12382687246713098,0.12429024362818912,0.12405855804766006,254.75000000000182,1.8189894035458565e-12
2025-02-12,2025-02-20,23050.0,23045.25,218.05,8,0.0317460317460317,0.9997939262472884,0.065,0.1198628832440703,0.11971984609188603,0.12098611556588988,0.12035298082888796,218.05000000103246,1.032447016768856e-09
2025-02-13,2025-02-20,23050.0,23031.4,191.7,7,0.0277777777777777,0.9991930585683296,0.065,0.1197575388100439,0.11758714817877838,0.1188501017210819,0.11821862494993014,191.70000000000618,6.195932655828074e-12
2025-02-14,2025-02-27,22950.0,22929.25,262.85,13,0.0515873015873015,0.9990958605664488,0.065,0.1198432561585362,0.11264421623066513,0.1161666839801668,0.11440545010541597,262.85000000301625,3.016225491592195e-09
2025-02-17,2025-02-27,22950.0,22959.5,272.85,10,0.0396825396825396,1.0004139433551198,0.065,0.1188804220979469,0.13006649940175352,0.12532407647431545,0.12769528793803447,272.8499999999967,3.296918293926865e-12
2025-02-18,2025-02-27,22950.0,22945.3,224.25,9,0.0357142857142857,0.9997952069716776,0.065,0.1171035148419379,0.11518885638558726,0.13187539828318248,0.12353212733438487,224.25000000307227,3.0722731025889516e-09
2025-02-19,2025-02-27,22950.0,22932.9,197.65,8,0.0317460317460317,0.9992549019607844,0.065,0.1073920454767398,0.11181559381540511,0.12172435280855315,0.11676997331197914,197.65000000006512,6.511413630505558e-11
2025-02-20,2025-02-27,22900.0,22913.15,184.45,7,0.0277777777777777,1.0005742358078604,0.065,0.10570971581462,0.10232590996692492,0.11108551800485153,0.10670571398588823,184.45000000000255,2.5579538487363607e-12
2025-02-21,2025-03-06,22800.0,22795.9,264.9,13,0.0515873015873015,0.9998201754385966,0.065,0.1068771808911938,0.1100560264218332,0.11099669780592858,0.1105263621138809,264.90000000000146,1.4779288903810084e-12
2025-02-24,2025-03-06,22550.0,22553.35,259.6,10,0.0396825396825396,1.0001485587583148,0.065,0.111623386862467,0.12713979132469377,0.09918622984073627,0.11316301058271502,259.6000000093227,9.32266175368568e-09
2025-02-25,2025-03-06,22550.0,22547.55,209.1,9,0.0357142857142857,0.9998913525498891,0.065,0.1046760795935158,0.10783322957867131,0.08955733875995445,0.09869528416931288,209.10000000833315,8.333159939866164e-09
2025-02-27,2025-03-06,22550.0,22545.05,169.5,7,0.0277777777777777,0.999780487804878,0.065,0.1029494010208943,0.10078848303944438,0.09225354977863488,0.09652101640903962,169.5000000018008,1.800799509510398e-09
2025-02-28,2025-03-13,22100.0,22124.7,286.05,13,0.0515873015873015,1.0011176470588237,0.065,0.1172320155876861,0.11668625585929014,0.10585891923724348,0.11127258754826681,286.0499999999993,7.389644451905042e-13
2025-03-03,2025-03-13,22100.0,22119.3,247.9,10,0.0396825396825396,1.0008733031674208,0.065,0.1165557661628126,0.11828334984933027,0.10832550307800619,0.11330442646366823,247.90000000000146,1.4495071809506044e-12
2025-03-04,2025-03-13,22100.0,22082.65,194.45,9,0.0357142857142857,0.9992149321266968,0.065,0.1105078582956101,0.10638960038188783,0.11422210375967465,0.11030585207078124,194.45000000026084,2.60854449152248e-10
2025-03-05,2025-03-13,22350.0,22337.3,185.8,8,0.0317460317460317,0.9994317673378076,0.065,0.117062088116451,0.10626114657587046,0.11196441046890068,0.10911277852238557,185.80000000034488,3.4486902222852223e-10
2025-03-06,2025-03-13,22550.0,22544.7,156.3,7,0.0277777777777777,0.9997649667405766,0.065,0.1198987084412195,0.09206014512305986,0.11979833712043456,0.1059292411217472,156.30000000362634,3.6263259062252473e-09
2025-03-07,2025-03-20,22550.0,22552.5,238.7,13,0.0515873015873015,1.000110864745011,0.065,0.1068774983747474,0.09669824632485474,0.10566686260312477,0.10118255446398976,238.70000000000255,2.5579538487363607e-12
2025-03-10,2025-03-20,22450.0,22460.3,213.5,10,0.0396825396825396,1.0004587973273942,0.065,0.1075986453716803,0.09951423395681519,0.11718666222355482,0.10835044809018501,213.50000000000364,3.637978807091713e-12
2025-03-11,2025-03-20,22500.0,22497.9,202.4,9,0.0357142857142857,0.9999066666666668,0.065,0.1069232092097429,0.10401733953001953,0.11560668335091577,0.10981201144046765,202.39999999999782,2.1884716261411086e-12
2025-03-12,2025-03-20,22450.0,22470.5,186.1,8,0.0317460317460317,1.000913140311804,0.065,0.1068212771184541,0.09427750438136565,0.10637574373411829,0.10032662405774197,186.10000000000036,3.694822225952521e-13
2025-03-13,2025-03-20,22400.0,22397.2,140.35,7,0.0277777777777777,0.999875,0.065,0.1042672686414589,0.08106131075147299,0.0975713127680378,0.08931631175975539,140.34999999999854,1.4495071809506044e-12
2025-03-17,2025-03-27,22500.0,22508.75,234.5,10,0.0396825396825396,1.000388888888889,0.065,0.095480534442482,0.11162302556114252,0.10247042015088112,0.10704672285601183,234.5,0.0
2025-03-18,2025-03-27,22850.0,22834.3,199.2,9,0.0357142857142857,0.999312910284464,0.065,0.1070667321648989,0.10461179420711009,0.09897138521353382,0.10179158971032196,199.2000000005737,5.737206265621353e-10
2025-03-19,2025-03-27,22900.0,22907.6,207.5,8,0.0317460317460317,1.0003318777292576,0.065,0.1075955340274747,0.10991771389004809,0.09804648495770762,0.10398209942387786,207.5,0.0
2025-03-20,2025-03-27,23200.0,23190.65,134.8,7,0.0277777777777777,0.9995969827586207,0.065,0.1143587723023397,0.0764745113231686,0.09913352638582118,0.08780401885449489,134.8000000062966,6.296602350630565e-09
2025-03-21,2025-04-03,23350.0,23350.4,235.05,13,0.0515873015873015,1.000017130620985,0.065,0.1166097793131444,0.09148291735488087,0.09151434039480857,0.09149862887484472,235.04999999999927,7.389644451905042e-13
2025-03-24,2025-04-03,23650.0,23658.35,251.5,10,0.0396825396825396,1.000353065539112,0.065,0.1247387780063614,0.11457045948744621,0.10469273522980754,0.10963159735862688,251.49999999999818,1.8189894035458565e-12
2025-03-25,2025-04-03,23650.0,23668.65,249.45,9,0.0357142857142857,1.0007885835095138,0.065,0.124734060831421,0.11824444975551253,0.10018325569210519,0.10921385272380886,249.4499999999971,2.8990143619012088e-12
2025-03-26,2025-04-03,23500.0,23486.85,218.3,8,0.0317460317460317,0.9994404255319148,0.065,0.1274014020028908,0.11998592156057383,0.09421284126826206,0.10709938141441794,218.30000000012842,1.284092832065653e-10
2025-03-27,2025-04-03,23600.0,23591.95,199.65,7,0.0277777777777777,0.9996588983050848,0.065,0.1271140435457426,0.11602644597647489,0.09068384044899093,0.10335514321273291,199.6500000002452,2.4519408725609537e-10
2025-04-01,2025-04-09,23150.0,23165.7,236.15,8,0.0317460317460317,1.0006781857451403,0.065,0.1326071182837148,0.1233697284900448,0.10675243112801829,0.11506107980903155,236.15000000000146,1.4495071809506044e-12
2025-04-02,2025-04-09,23350.0,23332.35,174.45,7,0.0277777777777777,0.9992441113490363,0.065,0.134807488329798,0.10442785014151496,0.11949320188620366,0.11196052601385931,174.45000000002437,2.4385826691286638e-11
2025-04-03,2025-04-17,23250.0,23250.1,240.25,14,0.0555555555555555,1.0000043010752688,0.065,0.1194084328328412,0.08955724143880606,0.11500825237223537,0.10228274690552072,240.25,0.0
2025-04-04,2025-04-17,22900.0,22904.45,213.7,13,0.0515873015873015,1.0001943231441048,0.065,0.1297208187305542,0.08209554307222955,0.11347455811027757,0.09778505059125356,213.70000000000255,2.5579538487363607e-12
2025-04-09,2025-04-17,22400.0,22399.15,321.65,8,0.0317460317460317,0.9999620535714286,0.065,0.1743546145687465,0.18764234908664662,0.1920358588419318,0.1898391039642892,321.650000000036,3.603872755775228e-11
2025-04-11,2025-04-24,22850.0,22828.55,379.9,13,0.0515873015873015,0.9990612691466084,0.065,0.1858183078434025,0.1702378503908559,0.16373362637674238,0.16698573838379915,379.9000000000524,5.240963218966499e-11
2025-04-15,2025-04-24,23350.0,23328.55,211.35,9,0.0357142857142857,0.9990813704496788,0.065,0.19928158038759,0.11070374368122557,0.1344993279451398,0.12260153581318269,211.3500000000804,8.040501597861294e-11
2025-04-16,2025-04-24,23450.0,23437.2,193.55,8,0.0317460317460317,0.999454157782516,0.065,0.1998209323328083,0.10525123056012284,0.1389401158373874,0.12209567319875513,193.55000000045402,4.540083864412736e-10
2025-04-17,2025-04-24,23850.0,23851.65,190.15,7,0.0277777777777777,1.0000691823899373,0.065,0.2084009633973928,0.10531581623406784,0.1352233367130476,0.12026957647355771,190.1500000065571,6.557087317560217e-09
2025-04-21,2025-04-30,24150.0,24125.55,229.75,9,0.0357142857142857,0.9989875776397515,0.065,0.2116648915637101,0.117516103654703,0.12704812268222057,0.12228211316846178,229.75000000002183,2.1827872842550278e-11
2025-04-22,2025-04-30,24150.0,24167.25,227.85,8,0.0317460317460317,1.0007142857142857,0.065,0.2110768907547715,0.11220502324918959,0.12307463401984509,0.11763982863451733,227.85000000000218,2.1884716261411086e-12
2025-04-23,2025-04-30,24350.0,24328.95,198.0,7,0.0277777777777777,0.9991355236139632,0.065,0.2066419458163225,0.11524761789282142,0.12770892058370475,0.12147826923826309,198.00000000000728,7.275957614183426e-12
2025-04-24,2025-05-08,24250.0,24246.7,316.8,14,0.0555555555555555,0.9998639175257732,0.065,0.2066751158247554,0.11981167507476863,0.13602918179083112,0.12792042843279988,316.8000000000029,2.8990143619012088e-12
2025-04-25,2025-05-08,24050.0,24039.35,294.8,13,0.0515873015873015,0.9995571725571724,0.065,0.2045288317300204,0.11879033059863997,0.14215090233905275,0.13047061646884636,294.7999999999993,7.389644451905042e-13
2025-04-28,2025-05-08,24350.0,24328.5,257.8,10,0.0396825396825396,0.99911704312115,0.065,0.2071948945678265,0.12248889757338574,0.13230913886431794,0.12739901821885186,257.8000000001284,1.284092832065653e-10
2025-04-29,2025-05-08,24350.0,24335.95,226.7,9,0.0357142857142857,0.999422997946612,0.065,0.2023968675962124,0.11171939888565666,0.13765603567461213,0.12468771728013439,226.70000000064465,6.446612133004237e-10
2025-04-30,2025-05-08,24350.0,24334.2,235.4,8,0.0317460317460317,0.9993511293634496,0.065,0.2023916518705589,0.12599227256344475,0.14505721038331748,0.13552474147338112,235.40000000004693,4.6924242269597016e-11
2025-05-02,2025-05-15,24350.0,24346.7,290.35,13,0.0515873015873015,0.999864476386037,0.065,0.2007096595921759,0.11318777163888649,0.14809316198287878,0.13064046681088265,290.35000000000036,3.410605131648481e-13
2025-05-05,2025-05-15,24450.0,24461.15,263.5,10,0.0396825396825396,1.0004560327198364,0.065,0.2007684359087337,0.1156575637942205,0.132521818498046,0.12408969114613325,263.50000000000364,3.637978807091713e-12
2025-05-06,2025-05-15,24400.0,24379.6,206.75,9,0.0357142857142857,0.9991639344262294,0.065,0.2008155840905204,0.10241861314187829,0.134766884819559,0.11859274898071864,206.75000000028922,2.892193151637912e-10
2025-05-07,2025-05-15,24400.0,24414.4,224.3,8,0.0317460317460317,1.0005901639344263,0.065,0.1942185969893754,0.10974861295277882,0.1514847225162716,0.1306166677345252,224.29999999999745,2.5579538487363607e-12
2025-05-08,2025-05-15,24250.0,24273.8,248.55,7,0.0277777777777777,1.000981443298969,0.065,0.1936863377038528,0.13220600373019242,0.19680302069416547,0.16450451221217893,248.5500000000011,1.0800249583553523e-12
2025-05-09,2025-05-22,24000.0,24008.0,355.35,13,0.0515873015873015,1.0003333333333333,0.065,0.1968761038055009,0.14239113186645297,0.17248775012030135,0.15743944099337714,355.34999999999854,1.4779288903810084e-12
2025-05-12,2025-05-22,24900.0,24924.7,332.0,10,0.0396825396825396,1.000991967871486,0.065,0.2286360217991425,0.14433581721079852,0.14224239108378972,0.14328910414729412,332.0000000000018,1.8189894035458565e-12
2025-05-13,2025-05-22,24600.0,24578.35,261.15,9,0.0357142857142857,0.9991199186991868,0.065,0.2050998198896085,0.13125810573648566,0.1496975795530207,0.1404778426447532,261.15000000002146,2.148681232938543e-11
2025-05-14,2025-05-22,24650.0,24666.9,232.95,8,0.0317460317460317,1.000685598377282,0.065,0.1974886892932338,0.1126534877247228,0.13890430882016747,0.12577889827244515,232.9499999999989,1.0800249583553523e-12
2025-05-15,2025-05-22,25050.0,25062.1,193.9,7,0.0277777777777777,1.0004830339321358,0.065,0.2036456437420421,0.09832748817016898,0.1368614450805084,0.11759446662533869,193.89999999999964,3.694822225952521e-13
2025-05-16,2025-05-29,25000.0,25019.8,313.35,13,0.0515873015873015,1.000792,0.065,0.1933234316420775,0.11418080535418891,0.12526717420787134,0.11972398978103013,313.34999999999854,1.4779288903810084e-12
2025-05-19,2025-05-29,24950.0,24945.45,277.05,10,0.0396825396825396,0.9998176352705412,0.065,0.1791604628829557,0.12425941065643281,0.1409058382003419,0.13258262442838736,277.05000000358086,3.580851171136601e-09
2025-05-20,2025-05-29,24700.0,24683.9,281.05,9,0.0357142857142857,0.999348178137652,0.065,0.1819992200580997,0.13980137243855242,0.12205134426799934,0.13092635835327587,281.05000000005384,5.383071766118519e-11
2025-05-21,2025-05-29,24800.0,24813.45,249.8,8,0.0317460317460317,1.0005423387096777,0.065,0.1729682436614654,0.1226154532568343,0.1414793898274439,0.1320474215421391,249.79999999999927,7.389644451905042e-13
2025-05-22,2025-05-29,24600.0,24609.7,229.15,7,0.0277777777777777,1.0003943089430896,0.065,0.1708899408495905,0.12294714795328082,0.1249017599996585,0.12392445397646966,229.15000000818327,8.183263844330213e-09
2025-05-23,2025-06-05,24850.0,24853.15,314.7,13,0.0515873015873015,1.0001267605633803,0.065,0.1740091339299119,0.1198103070898067,0.13797268976941188,0.12889149842960929,314.6999999999971,2.8990143619012088e-12
2025-05-26,2025-06-05,25000.0,25001.15,326.65,10,0.0396825396825396,1.000046,0.065,0.1737054747049544,0.1475193575544562,0.1552101321935345,0.15136474487399534,326.6500000018641,1.864123078121338e-09
2025-05-27,2025-06-05,24850.0,24826.2,313.35,9,0.0357142857142857,0.9990422535211269,0.065,0.1749488131764683,0.1583276582074538,0.16350366115319015,0.16091565968032195,313.3500000000022,2.1600499167107046e-12
